Part Number,Vendor,Vendor P/N,Package,Quantity On Hand,Price Each (qty 25),Description,Symbol Name,Symbol Library,Footprint Library,Family,Comments,Alternate vendor,Alternate P/N,Alternate Vendor,Alternate P/N,Datasheet
A-1108-0,TI,PCM1798DB,SSOP-28_5.3x10.2mm_Pitch0.65mm,4,$5.37,"IC, PCM1798DB Stereo Audio DAC, 24-bit/192 kHz 123 dB SNR SSOP-28",,asp_converter,asp_ic,,,,,,,
A-1109-0,Lattice,LCMXO2-2000HC4-TG144C,TQFP-144_20x20mm_P0.5mm,0,$10.00,"IC, LCMXO2-2000HC4-TG144C FPGA 2112 LUTs 3.3V/2.5V -4 Speed",,asp_digital,asp_ic,,,,,,,
A-1110-0,Lattice,LCMXO2-1200HC4-TG100C,TQFP-100_14x14mm_P0.5mm,7,$6.50,"IC, LCMXO2-1200HC4-TG144C FPGA 1280 LUTs 3.3V/2.5V -4 Speed",,asp_digital,asp_ic,,,,,,,
A-1111-0,Microchip,MCP1825S-1802E/DB,SOT-223,5,$0.43,"IC, MCP1825S-1802E/DB 1.8V 500mA LDO SOT-223",,asp_regulator,asp_ic,,,,,,,
A-1112-0,Linear Tech,LT3080EDD#PBF,DFN-8-1EP_3x3mm_P0.5mm,4,$2.75,"IC, LT3080EDD adjustable positive LDO DFN-8",,asp_regulator,asp_ic,,,,,,,
A-1112-1,Linear Tech,LT3080ET#PFB,TO-220-5_Vertical_StaggeredType1,0,$3.20,"IC, LT3080ET 1.1 A adjustable positive LDO TO-220-5",,asp_regulator,asp_ic,,,,,,,
A-1113-0,Linear Tech,LT3090EDD#PBF,DFN-10-1EP_3x3mm_P0.5mm,1,$4.75,"IC, LT3090EDD adjustable negative LDO DFN-10",,asp_regulator,asp_ic,,,,,,,
A-1114-0,Linear Tech,LT1372CN8#PBF,DIP-8_W7.62mm,7,$4.78,"IC, LT1372 1.5A 500 kHz switching regulator DIP-8",,asp_regulator,asp_ic,,,,,,,
A-1115-0,Analog Devices,AD8672ARZ,SOIC-8_3.9x4.9mm_P1.27mm,,$3.59,"IC, AD8672ARZ Precision very low noise, low Ib, op-amp SO-8",,asp_analog,asp_ic,,"75uV max offset, 10 MHz GBW",,,,,
A-1116-0,Linear Tech,LT3091ET7#PBF,TO-220-7S,,$4.00,"IC, LT3091ET7 1.5 A adjustable negative LDO TO-220-7S",,asp_regulator,asp_ic,,,,,,,
A-1117-0,Linear Tech,LT1963AET#PBF,TO-220-5_Vertical_StaggeredType1,3,$5.00,"IC, LT1963AET, 1.5 A adjustable LDO TO-220-5S",,asp_regulator,asp_ic,,,,,,,
A-1118-0,Linear Tech,LT1175CT#PBF,TO-220-5_Vertical_StaggeredType1,4,$8.00,"IC, LT1175CT, 500 mA adjustable negative LDO TO-220-5S",,asp_regulator,asp_ic,,,,,,,
A-1119-0,THAT,1606Q16-U,QSOP-16_3.9x4.9mm_P0.635mm,10,$3.91,"IC, 1606 Balanced Line Driver, QSOP-16",,asp_analog,asp_ic,,,,,,,
A-1120-0,THAT,4305Q16-U,QSOP-16_3.9x4.9mm_P0.635mm,,$4.12,"IC, 4305 Analog Engine Dynamics Processor QSOP-16",,asp_analog,asp_ic,,,,,,,
A-1121-10k,Microchip,MCP45HV51-103E/ST,TSSOP-14_4.4x5mm_P0.65mm,,$1.30,"IC, MCP45HV51-103 10k 256-tap volatile digital pot I2C TSSOP-14",MCP45HV51-103EST,asp_analog,asp_ic,,,,,,,
